Index,Source,Entry,Syllabary,Part_of_Speech,PoS,PoS_Family,Definition,Cross_Reference,Entry_Tone,Other_Forms,Notes,Locked,Source_ID
1,ced,achuja,ᎠᏧᏣ,noun,,,boy,,ạchűja,plural:anichuja^ᎠᏂᏧᏣ^ạnichűja,,False,4.1
2,ced,achvya,ᎠᏨᏯ,noun,,,male animal,,ạchvya,plural:anichvya^ᎠᏂᏨᏯ^ạnichvya,,False,5.1
3,ced,ada,ᎠᏓ,noun,,,wood,,ạda,,,False,6.1
4,ced,a’da,ᎠᏓ,noun,,,young animal,,ạ̋’da,plural:anida^ᎠᏂᏓ^ạni̋da,,False,7.1
5,ced,adadega,ᎠᏓᏕᎦ,verb (v.i.),,,it’s bouncing,,àdạdéga,1st person singular with animate/ inanimate object:gadadega^ᎦᏓᏕᎦ^gạdạdéga|3rd person singular non-progressive remote past tense:udadinvsv’i^ᎤᏓᏗᏅᏒᎢ^ùdạdǐnv̂sv̌’i|3rd person singular present habitual:adadego’i^ᎠᏓᏕᎪᎢ^àdạdégó’i|imperative with animate/ inanimate direct objects:hadaduga^ᎭᏓᏚᎦ^hạdạdùga|3rd person singular infinitive:udadinvdi^ᎤᏓᏗᏅᏗ^udạdǐnv̂di,,False,8.1
6,ced,adadega,ᎠᏓᏕᎦ,verb (v.i.),,,he/she is limping,,àdạdéga,1st person singular with animate/ inanimate object:gadadega^ᎦᏓᏕᎦ^gạdạdéga|3rd person singular non-progressive remote past tense:udadesv’i^ᎤᏓᏕᏒᎢ^ùdạdésv̌’i|3rd person singular present habitual:adadego’i^ᎠᏓᏕᎪᎢ^àdạdégó’i|imperative with animate/ inanimate direct objects:hadaduga^ᎭᏓᏚᎦ^hạdạdùga|3rd person singular infinitive:udadinvdi^ᎤᏓᏗᏅᏗ^udạdǐnv̂di,,False,9.1
7,ced,adadinvdiha,ᎠᏓᏗᏅᏗᎭ,verb (v.i.),,,he/she is bouncing it,,àdạdǐnv̂dịha,1st person singular with animate/ inanimate object:gadadinvdiha^ᎦᏓᏗᏅᏗᎭ^gạdạdǐnv̂dịha|3rd person singular non-progressive remote past tense:udadinvtanv’i^ᎤᏓᏗᏅᏔᏅᎢ^ùdạdǐnv̂tạnv̌’i|3rd person singular present habitual:adadinvdisgo’i^ᎠᏓᏗᏅᏗᏍᎪᎢ^àdạdǐnv̂disgó’i|imperative with animate/ inanimate direct objects:hadadinvda^ᎭᏓᏗᏅᏓ^hạdạdinv̀da|3rd person singular infinitive:udadinvdohdi^ᎤᏓᏗᏅᏙᏗ^udạdǐnv̂dọhdi,,False,10.1
8,ced,adadlohiha,ᎠᏓᏠᎯᎭ,verb (v.i.),,,he/she is putting on a belt,,àdádlohị́ha,1st person singular with animate/ inanimate object:gadadlohiha^ᎦᏓᏠᎯᎭ^gạdádlohị́ha|3rd person singular non-progressive remote past tense:udadlohlv’i^ᎤᏓᏠᏢᎢ^ùdádlohlv̌’i|3rd person singular present habitual:adadlohiho’i^ᎠᏓᏠᎯᎰᎢ^àdádlohịhó’i|imperative with animate/ inanimate direct objects:hadadloga^ᎭᏓᏠᎦ^hạdàdlǒga|3rd person singular infinitive:udadlosdi^ᎤᏓᏠᏍᏗ^udàdlǒsdi,,False,11.1
9,ced,adadlosdi,ᎠᏓᏠᏍᏗ,noun,,,belt,,ạdàdlǒsdi,plural:didadlosdi^ᏗᏓᏠᏍᏗ^didàdlǒsdi,,False,12.1
10,ced,adadolisdi,ᎠᏓᏙᎵᏍᏗ,noun,,,prayer,,ạdadǒlîsdi,,,False,13.1
11,ced,adadolisdiha,ᎠᏓᏙᎵᏍᏗᎭ,verb (v.i.),,,he/she is praying,,àdadǒlîsdịha,1st person singular with animate/ inanimate object:gadadolisdiha^ᎦᏓᏙᎵᏍᏗᎭ^gạdadǒlîsdịha|3rd person singular non-progressive remote past tense:udadolistanv’i^ᎤᏓᏙᎵᏍᏔᏅᎢ^ùdadǒlîstạnv̌’i|3rd person singular present habitual:adadolisdisgo’i^ᎠᏓᏙᎵᏍᏓᏍᎪᎢ^àdadǒlîsdisgó’i|imperative with animate/ inanimate direct objects:hadadolisda^ᎭᏓᏙᎵᏍᏓ^hạdadolìsda|3rd person singular infinitive:udadolisdohdi^ᎤᏓᏙᎵᏍᏙᏗ^udadǒlîsdọhdi,,False,14.1
12,ced,adage’i,ᎠᏓᎨᎢ,adjective,,,tender,,ạ́dạge̋’i,plural:anidage’i^ᎠᏂᏓᎨᎢ^ạnídạge̋’i,,False,15.1
13,ced,adageyhdi,ᎠᏓᎨᏳᏗ,noun,,,love,,ạdagẹyhdi,,,False,16.1
14,ced,adahihi,ᎠᏓᎯᎯ,noun,,,thing that kills,,ạdǎhịhi,plural:anadahihi^ᎠᎾᏓᎯᎯ^ạnạdǎhịhi,,False,17.1
15,ced,adahlinesahldi,ᎠᏓᏟᏁᏌᎵᏗ,noun,,,purse,,ạdahlịnésạhldi,plural:didahlinesahldi^ᏗᏓᏟᏁᏌᎵᏗ^didahlịnésạhldi,,False,18.1
