ID,Source,Sentence_ID,Entry_ID,Word_Index,Sentence_Transliteration,Entry_Transliteration,Locked
1,ced,1,1,1,ná *ani:chű:ja* sgwà:hle̋:sdi dà:ná:ne:lo:hv́sga.,achuja,False
2,ced,2,2,1,jitǎ:ga *ani:chv:ya* u:gitsde̋:yi à:ná:yhgó:’i.,achvya,False
3,ced,3,3,4,hila̋: ju:gv̋:walhdi sà:gwű i:gâ:sv̋:ti *ada*,ada,False
4,ced,4,4,1,jitǎ:ga *ani̋:da* ju:tvhisdóhdi̋ à:da:nhtě:ha.,a’da,False
5,ced,5,5,3,e:ladí wǔ:di̋:na sgwà:hle̋:sdi *ù:dadi:nv̂:sv̌:’i*,adadega,False
6,ced,6,6,2,ayo’ű:hli asgaya *à:dadé:gv̋:* ji:gòwahtǐ:ha.,adadega,False
7,ced,7,7,3,ná alà:sgali̋:sgi sda̋:ya *à:dadǐ:nv̂:dǐ:ha* sgwà:hle̋:sdi.,adadinvdiha,False
8,ced,8,8,2,uwo:dű:hi adà:dlǒ:sdi *ù:dá:dlo:hlv̌:’i* diga:dú:hv̋ ù:we̋:na.,adadlohiha,False
9,ced,9,9,0,*adà:dlǒ:sdi* à:giné:sv́: dà:ni:sdayo:hihv̋:’i.,adadlosdi,False
10,ced,10,10,0,*ada:dǒ:lî:sdi* ù:tayo:hlv́ alhjadő:hvsgi.,adadolisdi,False
11,ced,11,11,2,jo’i iyúwa̋:kdi *à:da:dǒ:lî:sdǐ:sgo* si̋:ga.,adadolisdiha,False
12,ced,12,12,0,*aní:dage̋:* tǔ:ya ani:je̋: dù:hwasv́ di:dá:nanv̋:’i.,adage’i,False
13,ced,13,12,0,*ádage̋:* ayő:hli u:nv̌:digwu i:ga̋: à:di:tasgó:’i.,adage’i,False
14,ced,14,13,0,*ada:geyhdi* u:lsge̋:da.,adageyhdi,False
15,ced,15,14,2,i:gá:da di̋:kisdi *anada̋:hihi* tsgwi̋:sdi yidákisa.,adahihi,False
16,ced,16,15,1,ije̋: *ada:hlane̋:salhdi* ù:nv́:ne:lv́ u:sda:yv̋:hvsgi.,adahlinesahldi,False
17,ced,17,16,3,dà:ni:sdayo:hihv̋: na’v̋: yi̋gi *di:da̋:hnehdi* à:nada:nané:svhvsgó: yv:wi.,adahnehdi,False
18,ced,18,17,0,*u:tano:yé:hdi̋* ù:du:lí a:sé:hnó: hla atano:yó yuwá:ya.,adahnoyeha,False
19,ced,19,18,2,ù:di:hlehga hu:dalv́’v̀:ga *atano:yó*,adahnoyo,False
20,ced,20,19,5,hla aya à:gwe:nv́:sv̋ yigi áhani *gadà:wahtv:hi:dô:hagwu*,adahwahtvhidoha,False
21,ced,21,20,3,ù:sgwá’da go:hwe:li de:gó:hwě:lî:sgv̋: *ù:da:hyâ:stanv̌:’i*,adahyasdiha,False
22,ced,22,21,0,*ada:hye̋:sgi* ù:dlv́gv̋ à:jì:nv:wâ:nv̌:’i.,adahyesgi,False
23,ced,23,22,2,u:no:sgí:sv̋: à:gu’i̋:stana *ù:dahyilv̌:’i*,adahyiha,False
24,ced,25,23,3,chane:li:ne̋: dikanowadv́:sdi hlè:sdi *jada:hyo:ně:lv́:’i* à:dǐ:ha.,adahyoneha,False
25,ced,26,24,3,galv̋:kwdi go:hwe:li à:sgâ:ga *ada:hyő:nehdi*,adahyonehdi,False
26,ced,27,25,6,jǎ:ni ő:sdi kano:hě:da chane:li:ne̋: à:yâ:tohlv̋: à:jì:nê:sdí *ada:hyo:ne̋:hi* agě:hya.,adahyonehi,False
27,ced,28,26,4,uwe̋:ti ahnawó ahi̋:da gè:só *u:da:jagalhdi*,adajagaliha,False
28,ced,29,27,3,go:hű:sdi ű:sdi tsgǒ:ya *ada:jv̋:ysgi* ù:wa:jv́:hya uwò:ye̋:ni.,adajvysgi,False
29,ced,30,28,3,hlv̋: uwe:nv̀:sdi̋ yadv́:nv’isdi̋: *à:da:kě:sgó:’i*,adakeha,False
30,ced,31,29,1,ű:tana *ada:kéhdi̋* nù:wá:nhdi di:sě:hísdi̋:’i.,adakehdi,False
31,ced,32,30,2,u:nalà:sgalhdi̋: yu:hlî:lő:hla *à:dale:ni:sgó* à:nalâ:sgalǐ:sgv̋:’i.,adaleniha,False
32,ced,33,31,1,tsgwi̋:sda *u:da:nanè:svhv́sdi̋* ù:du:lí a:sé:hnó tsgwǐ:sdi dà:gv:walhdǐ:dá’na.,adananesvhvsga,False
33,ced,34,32,0,*à:da:nánv̋:* dà:gilv:hwísdà:ne:hó go:gí yinű:lstana.,adana’nv’i,False
34,ced,35,33,3,gihli dà:suhwisgv̋: ù:tv̋:gà:na *ù:danâ:wstanv̌:’i*,adanawsdiha,False
35,ced,36,34,2,gǐ:gáge̋ ajv̋:ysdi à:dane:*dlí:yv:nâ*,adanedliyv’a,False
36,ced,37,35,4,dù:yawe̋:ja ahyv̋:ki à:kti:yv̋: u:na:li̋:’i *ù:daně:dlí:yv̀:stanv̌:’i*,adanedliyvsdiha,False
