ID,Source,Syllabary,Transliteration,English,Story,Chapter,Line,Author,Speaker,,,,,,,,,,,,,
1,ced,Ꮎ ᎠᏂᏧᏣ ᏍᏆᏞᏍᏗ ᏓᎾᏁᎶᎲᏍᎦ.,Na anichuja sgwahlesdi dananelohvsga.,The boys are playing ball.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
2,ced,ᏥᏔᎦ ᎠᏂᏨᏯ ᎤᎩᏥᏍᏕᏱ ᎠᎾᏴᎪᎢ.,Jitaga anichvya ugitsdeyi anayhgoi.,Roosters crow at dawn.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
3,ced,ᏥᏔᎦ ᎠᏂᏓ ᏧᏛᎯᏍᏙᏗ ᎠᏓᏅᏖᎭ.,Jitaga anida jutvhisdohdi adanhteha.,He's thinking about raising chicks.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
4,ced,ᎯᎳ ᏧᎬᏩᎶᏗ ᏌᏊ ᎢᎦᏒᏘ ᎠᏓ?,Hila jugvwahldi sagwu igasvti ada?,How much does one rick of wood cost?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
5,ced,ᎠᏲᎤᏟᎠ ᎠᏍᎦᏯ ᎠᏓᏕᎬ ᏥᎪᏮᏘᎭ.,Ayouhlia asgaya adadegv jigowhtiha.,I see a lame man limping.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
6,ced,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ ᎤᏓᏗᏅᏒᎢ.,Eladi wudina sgwahlesdi udadinvsvi.,"When he threw the ball down, it bounced.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
7,ced,Ꮎ ᎠᎳᏍᎦᎵᏍᎩ ᏍᏓᏱ ᎠᏓᏗᏅᏗᎭ ᏍᏆᏞᏍᏗ.,Na alasgalisgi sdayi adadinvdiha sgwahlesdi.,The ball player is bouncing the ball hard.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
8,ced,ᎤᏬᏚᎯ ᎠᏓᏠᏍᏗ ᎤᏓᏠᏢᎢ ᏗᎦᏚᎲ ᎤᏪᎾ.,Uwoduhi adadlosdi udadlohlvi digaduhv uwena.,She put on a pretty belt when she went to town.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
9,ced,ᎠᏓᏠᏍᏗ ᎠᎩᏁᏒ ᏓᏂᏍᏓᏲᎯᎲᎢ.,Adadlosdi aginesv Danisdayohihvi.,I got a belt for Christmas.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
10,ced,ᎠᏓᏙᎵᏍᏗ ᎤᏔᏲᏢ ᎠᎵᏣᏙᎲᏍᎩ.,Adadolisdi utayohlv ahljadohvsgi.,The preacher asked for prayers.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
11,ced,ᏦᎢ ᎢᏳᏩᎩᏗ ᎠᏓᏙᎵᏍᏗᏍᎪ ᏏᎦ.,Joi iyuwakdi adadolisdisgo siga.,He prays three times a day.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
12,ced,ᎠᏓᎨ ᎠᏲᏟ ᎤᏅᏗᏊ ᎢᎦ ᎠᏗᏔᏍᎪᎢ.,Adage ayohli unvdigwu iga aditasgoi.,A very young child drinks only milk.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
13,ced,ᎠᏂᏓᎨ ᏚᏯ ᎠᏂᏤ ᏚᏩᏒ ᏗᏓᎾᏅᎢ.,Anidage tuya anije duhwasv didananvi.,She bought tender green beans at the store.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
14,ced,ᎠᏓᎨᏴᏗ ᎤᎵᏍᎨᏓ.,Adageyhdi ulsgeda.,Love is important.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
15,ced,ᎢᎦᏓ ᏗᎩᏍᏗ ᎠᎾᏓᎯᎯ ᏥᏈᏍᏗ ᏱᏓᎩᏌ.,Igada dikisdi anadahihi tsgwisdi yidakisa.,Some pills are killers if too many are swallowed.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
16,ced,ᎢᏤ ᎠᏓᏟᏁᏌᎵᏗ ᎤᏅᏁᎸ ᎤᏍᏓᏴᎲᏍᎩ.,Ije adahlinesahldi unvnelv usdayvhvsgi.,He gave his wife a new purse.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
17,ced,"ᏓᏂᏍᏓᏲᎯᎲ ᎾᎥ ᏱᎩ, ᏗᏓᏁᏗ ᎠᎾᏓᏁᎠᏁᏒᎲᏍᎪ ᏴᏫ.","Danisdayohihv nav yigi, didahnehdi anadaneanesvhvsgo yvwi.","When it's close to Christmas, people shop for gifts.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
18,ced,ᎤᏓᏃᏰᏗ ᎤᏚᎵ ᎠᏎᏅ Ꮭ ᎠᏓᏃᏲ ᏳᏩᏯ.,Udahnoyehdi uduli asehnv hla adahnoyo yuwaya.,"She wants to fan herself, but she has no fan.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
19,ced,ᎤᏗᏞᎦ. ᎱᏓᎸᎥᎦ ᎠᏓᏃᏲ.,Udihlehga. Hudalvvga adahnoyo.,It's hot. Plug in the fan.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
20,ced,Ꮭ ᎠᏴ ᎠᏇᏅᏒ ᏱᎩ ᎠᎭᏂ. ᎦᏓᏩᏛᎯᏙᎭᏊ.,Hla ayv agwenvsv yigi ahani. Gadawahtvhidohagwu.,This isn't my home. I'm just visiting.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
21,ced,"ᎤᏍᏆᏓ ᎪᏪᎵ ᏕᎪᏪᎵᏍᎬ, ᎤᏓᏯᏍᏔᏅᎢ.","Usgwada gohweli degohwelisgv, udahyastanvi.","When he finished writing letters, he stretched.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
